GET / 304 2.158 ms
1eecf084-fb13-4f44-8ea1-35e5a5fb0ce3 GET /api/user/register 304 1.087 ms
bce44eed-b390-421d-996b-82d28a2d5760 GET /api/user/register/details?username=braglath&email=pubgtamilstreamer%40gmail.com&phonenumber=2314234&password=12341234 500 156.061 ms
791b30d2-cc8e-49c7-9a34-2311c545e94f GET /api/user/register 200 6.695 ms
90d905c2-3c78-4207-8a9b-afde37ab8ed6 GET /api/user/register 304 1.060 ms
88f19aa9-2e1e-4905-87a4-8bb6bc56ee91 GET /api/user/register 304 0.902 ms
2e78702d-988f-48e5-b70e-d7ce330acdca GET /api/user/register 304 5.921 ms
72728cee-3784-4408-b44b-59fde3c84c57 GET /api/user/register/details?name=look+at+me&email=pubgtamilstreamer%40gmail.com&phonenumber=123123&password=9791038452 200 95.612 ms
1bdbe72a-8cd9-445c-85d9-1cfa30b9d107 GET /api/user/register 304 6.438 ms
a86f6878-0c1e-425c-ae36-ea8b73ae10b5 GET /api/user/register 304 1.028 ms
b8dc317e-56eb-4e0a-b7f1-f9ad796c94e8 GET /api/user/register/details?name=chicken+dance&email=sdaf&phonenumber=213423455&password=234555 200 92.024 ms
1ad9039f-9e96-4352-a128-3ec658b8ee3b GET /api/user/register 304 0.941 ms
5ef0588f-1877-4889-9a6a-1641c305967f GET / 302 1.905 ms
1b0e4379-5bce-4c53-92d9-ca06f43e26b2 GET /api/user 304 0.784 ms
3ff1caa1-7bf5-4dc7-b184-6fddc8b8a7c4 GET /api/user/register 304 0.713 ms
77ca2168-8407-4c03-89ca-50883d770515 GET /api/user/register/details?name=Braglath&email=pubgtamilstreamer%40gmail.com&phonenumber=123123123&password=9791038452 200 66.626 ms
573462b0-3828-461a-bf3f-e056e98eb818 GET /api/user/register 304 0.603 ms
5b12d3f8-20b5-4723-bd45-12073dd01575 GET /api/user/register 304 7.094 ms
d6b5c138-b5d0-49f3-812a-fa9d49046547 GET /api/user/register 304 1.114 ms
5da01dbc-e190-4de4-848b-a4c99cd47419 GET /api/user/login 304 1.585 ms
713de0fa-e63c-45f6-99a4-3793ebf84727 GET /api/user/login 304 0.759 ms
a46f16b0-8a5e-4fc4-b1c1-fa01159a664b GET /api/user/login/details?username=look+at+me&password= 500 3.832 ms
ec72656a-b2a2-4e95-8d95-c53f577e7c9c GET /api/user/login 304 5.491 ms
5a0bb2b4-068b-4164-9b5a-419eb2060b89 GET /api/user/login/details?username=braglath&password= 500 0.890 ms
fd6066c5-2951-492e-8c8a-3526ebe0df4b GET /api/user/login/details?username=braglath&password= 500 3.257 ms
bd89c4c6-8297-44a9-b9af-716aab246ef1 GET /api/user/login 304 6.126 ms
46b023a9-cfe3-41f8-815b-b9fd2eedce93 GET /api/user/login 200 5.931 ms
8bd7e4c6-8295-4d4f-a607-4052fdc08326 GET /api/user/login 304 6.134 ms
c26b26ac-9e91-43e7-aabc-607a4870e21c GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 17.905 ms
32d7c2cd-08b2-42be-83fb-0c3bea64c3df GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 4.277 ms
11ed2051-05e2-48ec-a9f5-25b02b9628e8 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 500 89.867 ms
1444168d-1b60-47e1-8187-e3e62df9286c GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 500 91.498 ms
eb81cf50-e058-4afb-9940-9e10062810b7 GET /api/user/login 304 5.251 ms
74ce024d-b8ae-41d1-a9ff-95229ad700db GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 500 89.133 ms
7e6cc000-031d-492a-a9bf-12f861e3826b GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 92.305 ms
c5e2cb9a-708c-4ad7-b93f-b0f6dbd1d227 GET / 302 1.832 ms
9d1d35d5-be53-48fe-bb85-4308f65b1c38 GET /api/user 304 4.704 ms
47d87522-d809-4f98-bc53-ec770fe66b9d GET /api/user/login 304 0.911 ms
0d336383-7939-4075-83b5-8a2bc96e81dd GET /api/user/login/details?name=look+at+me&password= 500 3.656 ms
75fe55b6-a629-46b0-8246-040cac6e5024 GET /api/user/login/details?name=look+at+me&password=9791038452 500 66.119 ms
4bfc5353-c9a1-4010-b5a7-4f94cda258bc GET /api/user/register 304 0.813 ms
eaeed597-cdff-4e8f-bf68-c750a0adaa38 GET /api/user/register/details?name=test&email=testing%40gmail.com&phonenumber=1234123412&password=234 500 0.588 ms
6f9a77bf-ce80-4c2b-a8aa-cf5556c95f7e GET /api/user/register/details?name=test&email=testing%40gmail.com&phonenumber=1234123412&password=2344 200 73.187 ms
e735bb21-c26a-408f-838f-162f1e39084c GET /api/user/register 304 5.934 ms
928e0edf-88fd-4888-8adb-a28e8c66d993 GET /api/user/login 304 0.939 ms
6fdf19fe-7c4a-4fe9-9d7b-4b8077b3d1c4 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 92.337 ms
9097c377-a4c7-4f20-9e72-1c58805e379f GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 93.105 ms
dad3da87-0bac-4f23-88d7-7ed2f92bcaca GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 92.062 ms
64880696-0843-4f1f-a0ec-cfd70f4ba4a3 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 68.306 ms
ec52f6db-9a36-412f-a9fa-7a9f30fb1ae5 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 65.495 ms
55ce9ce8-7f88-4de3-aca1-88c660779b9e GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 65.235 ms
b6ea9e4b-d24b-4e22-a16f-641e63a28eb0 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 100.104 ms
c8191060-f33e-42fa-89ae-60e69bcf90c7 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 92.916 ms
2718cabb-a841-4994-a11f-b48d3c00d8cc GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 304 67.665 ms
5eedb77a-4856-4a6e-822f-7233c7faa4e3 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 65.816 ms
c2f45110-c260-4c4e-90ec-44f61142a17f GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 65.158 ms
cd7d9387-9f3d-47b2-b99d-db4460c26e98 GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 200 66.478 ms
0e2daaaa-1a77-4be9-836e-d3e783d30e2e GET /api/user/login/details?name=look+at+me&password=%242a%2410%24S2d5LN8L%2FAuIT8f48f8c8.CJ3SRvjKM7LHQt8DZRHrmfL0M.FuL7S 304 65.869 ms
4bdc7108-c10f-491e-ad06-4d8c78ed42ec GET / 302 2.502 ms
9b8270c1-64d8-475b-a74b-0f2c4f092ffd GET /api/user 304 5.594 ms
3994171f-93fe-44dd-9fa4-60ae25b5e75a GET /api/user/register 304 1.583 ms
5e954c9a-0809-490d-8c46-b4a0f736209f GET /api/user/register/details?name=bragu&email=b%40gmail.com&phonenumber=1234512345&password=1234 200 94.494 ms
ff2b3cf2-7b9e-4eba-a7f2-ae05362c33aa GET /api/user/register/details?name=bragu&email=b%40gmail.com&phonenumber=1234512345&password=1234 200 94.450 ms
a25c2b7f-9b05-48fd-ba45-da9f2d1dca70 GET / 302 2.466 ms
e104e40f-5f16-4844-b1bf-001b40565db8 GET /api/user 304 4.581 ms
8100ba69-39b9-415a-860b-c87903fb46ff GET /api/user/login 304 1.194 ms
7da189f0-bbe7-41d4-8902-c5d4d7eb532a GET /api/user/login/details?name=bragu&password=1234 200 134.268 ms
75e79a26-9793-440d-9017-36ceb5d7c093 GET /api/user/login/details?name=bragu&password=1234 200 220.499 ms
dcaf279d-dccf-40f8-b80c-b131eaf272c4 GET /api/user/login/details?name=bragu&password=1234 200 219.761 ms
b91ceb10-9004-4939-8397-827a728e5748 GET /api/user/login/details?name=bragu&password=1234 200 93.133 ms
98f2d8e5-2184-4e21-a70f-40b16b74160e GET /api/user/checktoken 403 2.611 ms
be55eefa-6bcd-42d5-b32d-b2605102b9a9 GET /api/user/checktoken 403 0.499 ms
b510f1f2-0d4e-4557-8ee2-5a9815c329f6 GET /api/user/checktoken 403 0.373 ms
b3f3f854-7b94-4afa-be95-d11b889b1cff GET /api/user 200 5.165 ms
1cef845c-3872-4062-ab3f-1caf2f1e3588 GET /api/user/checktoken 403 0.328 ms
2960af5a-68ab-4580-b6fe-1d729b5f03e5 GET /api/user/checktoken 403 0.251 ms
affbfbc3-9dc9-4317-a240-f5be5c73e508 GET /api/user/checktoken 403 2.890 ms
47964556-11fc-4857-bce3-90b7f564ac38 GET /api/user/checktoken 403 0.821 ms
53907d37-7e85-43af-91e1-22b4e86ef68c GET /api/user/checktoken 403 3.694 ms
34aa75cf-38bc-459d-a8ab-f0d96303f53b GET /api/user/checktoken 403 5.023 ms
4bf3654f-a6be-4125-9e4e-eb74cc1a5175 GET /api/user/checktoken 403 4.913 ms
71bac0b9-1f85-4dd8-a0dd-2150373b9352 GET /api/user/checktoken 500 4.755 ms
c2353658-67d8-4d56-b1b6-992f33cd0784 GET /api/user/checktoken 403 6.295 ms
380e3210-0085-4ec8-8c17-d616b8c9faa8 GET /api/user/checktoken 403 6.599 ms
7a942bc5-1c8a-416e-b401-936b6ff39d82 GET /api/user/checktoken 403 1.614 ms
1cddac95-cfa4-4157-8c3f-7323fc668078 GET /api/user/checktoken 403 6.659 ms
7369f4dd-4ffb-4dd3-93f9-7e89ded7adf6 GET /api/user/checktoken 403 7.572 ms
a39be66a-2478-41d0-9201-18f649baadf4 GET /api/user/login/details?name=bragu&password=1234 200 91.231 ms
c93d3860-02a2-4465-97d0-7c7975542eb4 GET /api/user/checktoken 200 2.031 ms
920b0d45-accd-4e56-a038-a16b00dd9ee3 GET /api/user/checktoken 200 7.268 ms
